index,nl_intent,nl_intent_normalized,intent_type,action,expectation_type,endpoint,lifecycle_status,resource_id,resource_name,resource_version,priority,context,is_bundle,service_type,quality_level,latency,throughput,availability,max_participants,reporting_interval
273,Get all intents with priority 1,get all intents with priority 1,Intent,GET,DeliveryExpectation,/intent,Created,49716,MissionCriticalSetup001,4.7,1,Cloud services,True,EventWirelessAccess,Basic,100 ms,500 Mbps,99.95%,500,10
274,Check status of EdgeComputeDeployment002,check status of edgecomputedeployment002,ProbeIntent,GET,PropertyExpectation,/intent,Created,58748,EdgeComputeDeployment002,1.6,4,IoT networks,True,DataAnalytics,1080pHD,100 ms,1 Gbps,99.999%,50,30
275,Request a VideoStreaming with latency under 12ms,request a videostreaming with latency under 12ms,IntentSpecification,POST,,/intentspecification,Active,66934,TelehealthIntent001,5.2,3,intent-based networks,True,VideoStreaming,4KUHD,50 ms,1 Gbps,99.999%,1000,15
276,Deploy intent for deploy connected logistics for supply chain management,deploy intent for deploy connected logistics for supply chain management,IntentSpecification,POST,,/intentspecification,Created,70957,BroadbandIntentA,3.0,1,Video streaming,True,EdgeComputing,Basic,50 ms,500 Mbps,99.999%,500,5
277,Show information about intent 46128,show information about intent 46128,IntentReport,GET,,/intentreport,Created,46128,GamingProvision002,1.5,4,Cloud services,False,CloudService,Standard,100 ms,1 Gbps,99.99%,500,60
278,Get the current status of EdgeComputeIntentB,get the current status of edgecomputeintentb,IntentSpecification,GET,,/intentspecification,Active,75046,EdgeComputeIntentB,5.5,1,Enterprise networks,True,BroadbandService,480p,12 ms,100 Mbps,99.99%,500,5
279,Delete intent 46935,delete intent 46935,IntentSpecification,DELETE,,/intentspecification,Active,46935,NetworkSliceIntentv2,1.3,1,Autonomous services,False,CloudService,Standard,12 ms,500 Mbps,99.99%,500,5
280,Show intent evaluation report,show intent evaluation report,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Active,52202,SmartGridDeployment001,4.6,5,Broadband services,True,DataAnalytics,Premium,5 ms,500 Mbps,99.95%,200,60
281,Evaluate feasibility of enable edge computing capabilities for autonomous vehicles,evaluate feasibility of enable edge computing capabilities for autonomous vehicles,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Created,45347,EdgeComputeSetupB,4.0,4,Smart city,False,DataAnalytics,720p,5 ms,10 Gbps,99.95%,50,10
282,Adjust CloudServiceIntentB parameters,adjust cloudserviceintentb parameters,IntentSpecification,PATCH,,/intentspecification,Created,71956,CloudServiceIntentB,3.4,5,Video streaming,True,DataAnalytics,480p,20 ms,1 Gbps,99.95%,1000,10
283,Show intent validation results,show intent validation results,IntentReport,GET (IntentReport),,/intentreport,Created,48512,IoTConnectDeploymentB,1.4,3,Enterprise networks,True,NetworkSlice,480p,100 ms,500 Mbps,99.99%,50,5
284,Request deployment of provide mission critical communications for emergency services,request deployment of provide mission critical communications for emergency services,IntentSpecification,POST,,/intentspecification,Created,32506,EdgeComputeSetupC,1.4,1,Enterprise networks,False,VideoStreaming,Standard,5 ms,10 Gbps,99.95%,5000,60
285,Verify Smart city readiness,verify smart city readiness,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Created,54883,MissionCriticalSetupv1,4.4,5,Smart city,False,VoiceService,Standard,20 ms,10 Gbps,99.95%,50,10
286,Generate intent for enable telehealth services with guaranteed bandwidth,generate intent for enable telehealth services with guaranteed bandwidth,Intent,POST,DeliveryExpectation,/intent,Created,46651,VideoStreamIntentB,5.8,2,Broadband services,True,StreamingApplication,Basic,12 ms,10 Gbps,99.999%,1000,15
287,What is the status of intent 46838?,what is the status of intent 46838?,ProbeIntent,GET,DeliveryExpectation,/intent,Created,46838,MissionCriticalIntent002,2.1,5,Enterprise networks,False,EventWirelessAccess,480p,12 ms,1 Gbps,99.95%,5000,5
288,Discontinue intent 58097,discontinue intent 58097,Intent,DELETE,PropertyExpectation,/intent,Created,58097,IoTConnectServiceC,1.6,4,Autonomous services,False,StreamingApplication,Standard,20 ms,100 Mbps,99.99%,500,10
289,Update the deadline for intent 24056 to 2026-04-21,update the deadline for intent 24056 to 2026-04-21,Intent,PATCH,PropertyExpectation,/intent,Active,24056,SmartGridProvisionv1,1.4,5,Cloud services,False,EdgeComputing,4KUHD,12 ms,10 Gbps,99.95%,1000,60
290,Probe the system for provide video streaming service for the event venue capability,probe the system for provide video streaming service for the event venue capability,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Active,96696,NetworkSliceSetup002,1.1,1,IoT networks,True,VideoStreaming,Basic,100 ms,1 Gbps,99.9%,200,5
291,Clean up intent FactoryAutoService001,clean up intent factoryautoservice001,IntentSpecification,DELETE,,/intentspecification,Active,84981,FactoryAutoService001,1.0,4,Cloud services,False,EdgeComputing,480p,5 ms,1 Gbps,99.999%,200,15
292,Look up intent 81484,look up intent 81484,IntentReport,GET,,/intentreport,Active,81484,BroadbandProvision002,1.6,4,IoT networks,True,EventWirelessAccess,1080pHD,10 ms,1 Gbps,99.99%,200,5
293,Look up intent 35717,look up intent 35717,ProbeIntent,GET,DeliveryExpectation,/intent,Created,35717,IoTConnectIntentC,2.6,1,5G networks,False,BroadbandService,Basic,100 ms,500 Mbps,99.95%,100,10
294,Report on intent 96042,report on intent 96042,IntentSpecification,GET,,/intentspecification,Created,96042,AutonomousSetup002,1.3,5,intent-based networks,False,IoTService,720p,100 ms,100 Mbps,99.999%,1000,15
295,Report on intent 77806,report on intent 77806,IntentReport,GET,,/intentreport,Active,77806,SmartGridServicev1,1.9,4,Smart city,False,VideoStreaming,4KUHD,50 ms,100 Mbps,99.95%,200,15
296,Destroy intent 33489,destroy intent 33489,Intent,DELETE,DeliveryExpectation,/intent,Active,33489,FactoryAutoDeploymentv1,3.6,4,Edge computing,True,StreamingApplication,Standard,50 ms,100 Mbps,99.99%,5000,5
297,View the IoTConnectIntent001 intent,view the iotconnectintent001 intent,IntentReport,GET,,/intentreport,Created,70903,IoTConnectIntent001,2.0,1,Cloud services,True,VoiceService,Basic,100 ms,10 Gbps,99.9%,5000,5
298,Destroy intent 33214,destroy intent 33214,IntentSpecification,DELETE,,/intentspecification,Active,33214,CloudServiceServicev1,1.0,3,IoT networks,False,EdgeComputing,1080pHD,20 ms,500 Mbps,99.95%,100,10
299,Replace values in intent 47944,replace values in intent 47944,IntentSpecification,PATCH,,/intentspecification,Created,47944,SmartCityIntentB,1.1,3,Edge computing,True,EdgeComputing,4KUHD,50 ms,10 Gbps,99.9%,5000,60
300,Patch intent EventLiveIntentC configuration,patch intent eventliveintentc configuration,IntentSpecification,PATCH,,/intentspecification,Created,71306,EventLiveIntentC,3.7,3,Enterprise networks,True,EventWirelessAccess,720p,100 ms,1 Gbps,99.9%,50,30
301,Search for intent 26217,search for intent 26217,ProbeIntent,GET,PropertyExpectation,/intent,Created,26217,VideoStreamDeployment001,4.2,1,Edge computing,True,VideoStreaming,480p,50 ms,10 Gbps,99.9%,1000,10
302,Refresh intent 80211 settings,refresh intent 80211 settings,IntentSpecification,PATCH,,/intentspecification,Created,80211,NetworkSliceProvisionA,2.7,1,Broadband services,True,VoiceService,Standard,20 ms,10 Gbps,99.95%,1000,15
303,Clean up intent AutonomousProvisionA,clean up intent autonomousprovisiona,Intent,DELETE,PropertyExpectation,/intent,Created,23007,AutonomousProvisionA,3.2,1,IoT networks,True,NetworkSlice,Premium,50 ms,10 Gbps,99.9%,1000,10
304,Define an intent to deliver provide video streaming service for the event venue,define an intent to deliver provide video streaming service for the event venue,Intent,POST,DeliveryExpectation,/intent,Active,45729,GamingSetupA,1.9,1,Enterprise networks,False,CloudService,4KUHD,100 ms,100 Mbps,99.95%,500,30
305,Set up a new intent for provide holographic communication services,set up a new intent for provide holographic communication services,Intent,POST,ReportingExpectation,/intent,Active,92512,BroadbandDeploymentA,3.2,2,IoT networks,False,BroadbandService,4KUHD,12 ms,1 Gbps,99.9%,200,10
306,Show status report of intent 65220,show status report of intent 65220,IntentReport,GET (IntentReport),,/intentreport,Created,65220,GamingSetupv1,4.8,4,Smart city,True,DataAnalytics,1080pHD,20 ms,10 Gbps,99.9%,5000,15
307,Revise ConnectedCarSetup001 requirements,revise connectedcarsetup001 requirements,IntentSpecification,PATCH,,/intentspecification,Created,35337,ConnectedCarSetup001,2.3,2,Autonomous services,False,DataAnalytics,Standard,20 ms,1 Gbps,99.9%,200,5
308,Order a DataAnalytics service with minimum 99.99% availability,order a dataanalytics service with minimum 99.99% availability,Intent,POST,ReportingExpectation,/intent,Active,59529,ConnectedCarSetupv2,4.7,3,Enterprise networks,True,DataAnalytics,Basic,10 ms,100 Mbps,99.99%,500,60
309,Add a new intent for enable edge computing capabilities for autonomous vehicles,add a new intent for enable edge computing capabilities for autonomous vehicles,Intent,POST,PropertyExpectation,/intent,Created,81669,FactoryAutoProvisionA,4.4,4,Autonomous services,False,DataAnalytics,Standard,20 ms,10 Gbps,99.9%,100,60
310,Change CloudServiceServiceB priority level to 3,change cloudserviceserviceb priority level to 3,Intent,PATCH,ReportingExpectation,/intent,Active,58983,CloudServiceServiceB,2.4,3,Autonomous services,True,IoTService,720p,50 ms,100 Mbps,99.9%,100,60
311,Generate compliance status report,generate compliance status report,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Active,27198,MissionCriticalIntentv2,5.4,4,Autonomous services,True,CloudService,Premium,20 ms,100 Mbps,99.9%,200,5
312,Unregister intent GamingDeployment001,unregister intent gamingdeployment001,Intent,DELETE,ReportingExpectation,/intent,Created,62432,GamingDeployment001,4.9,4,Cloud services,True,VideoStreaming,720p,12 ms,100 Mbps,99.999%,5000,30
313,Generate intent for enable edge computing capabilities for autonomous vehicles,generate intent for enable edge computing capabilities for autonomous vehicles,Intent,POST,DeliveryExpectation,/intent,Active,83788,GamingSetupv1,4.8,3,intent-based networks,False,VoiceService,Standard,100 ms,10 Gbps,99.9%,1000,15
314,Find intent named SmartCitySetupv1,find intent named smartcitysetupv1,Intent,GET,DeliveryExpectation,/intent,Active,93745,SmartCitySetupv1,1.3,5,5G networks,False,VideoStreaming,Basic,5 ms,100 Mbps,99.99%,200,60
315,Show all active intents,show all active intents,IntentSpecification,GET,,/intentspecification,Created,89580,ConnectedCarDeploymentv1,3.8,5,Edge computing,True,DataAnalytics,Basic,5 ms,10 Gbps,99.99%,50,30
316,Submit intent for provide video streaming service for the event venue,submit intent for provide video streaming service for the event venue,Intent,POST,PropertyExpectation,/intent,Active,77779,EventLiveSetupA,3.5,3,Edge computing,True,StreamingApplication,Basic,100 ms,1 Gbps,99.9%,5000,30
317,Get compliance report for AutonomousService002,get compliance report for autonomousservice002,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Created,38837,AutonomousService002,4.3,4,Broadband services,True,IoTService,720p,100 ms,100 Mbps,99.999%,5000,60
318,What is the compliance status report?,what is the compliance status report?,Intent,GET (IntentReport),ReportingExpectation,/intent,Active,51546,CloudServiceServiceC,4.3,5,Cloud services,True,DataAnalytics,4KUHD,5 ms,500 Mbps,99.99%,500,60
319,Modify the expression of intent IoTConnectDeploymentv2,modify the expression of intent iotconnectdeploymentv2,Intent,PATCH,PropertyExpectation,/intent,Active,48647,IoTConnectDeploymentv2,2.5,5,Smart city,True,VideoStreaming,1080pHD,100 ms,10 Gbps,99.95%,1000,5
320,Destroy intent 30142,destroy intent 30142,Intent,DELETE,ReportingExpectation,/intent,Active,30142,SmartCityDeploymentv2,3.7,1,Edge computing,True,IoTService,4KUHD,10 ms,100 Mbps,99.9%,1000,10
321,What are the reporting metrics?,what are the reporting metrics?,Intent,GET (IntentReport),ReportingExpectation,/intent,Created,64693,AutonomousProvisionv2,4.1,3,Enterprise networks,True,VideoStreaming,Standard,50 ms,500 Mbps,99.9%,1000,60
322,Display intent 56087 details,display intent 56087 details,Intent,GET,PropertyExpectation,/intent,Created,56087,ConnectedCarSetupv2,1.9,2,Video streaming,False,NetworkSlice,1080pHD,5 ms,500 Mbps,99.9%,500,5
323,Start a new NetworkSlice with ultra low latency under 5ms,start a new networkslice with ultra low latency under 5ms,IntentSpecification,POST,,/intentspecification,Created,29722,AutonomousSetup001,4.6,1,Edge computing,True,NetworkSlice,480p,10 ms,10 Gbps,99.9%,50,10
324,Add a new intent for provide holographic communication services,add a new intent for provide holographic communication services,IntentSpecification,POST,,/intentspecification,Created,51522,EventLiveServiceC,4.7,4,Broadband services,True,EdgeComputing,Standard,10 ms,10 Gbps,99.99%,200,10
325,Get intent health report,get intent health report,Intent,GET (IntentReport),ReportingExpectation,/intent,Active,89755,CloudServiceDeploymentA,1.6,4,Autonomous services,False,VoiceService,4KUHD,100 ms,1 Gbps,99.95%,1000,15
326,Generate intent for deploy network slice with 99.999% availability,generate intent for deploy network slice with 99.999% availability,IntentSpecification,POST,,/intentspecification,Created,94348,SmartCityServiceA,4.8,1,Video streaming,True,VoiceService,Premium,10 ms,500 Mbps,99.999%,100,5
327,Display report for VoiceService,display report for voiceservice,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Active,62240,MissionCriticalSetupB,1.8,5,Broadband services,False,VoiceService,1080pHD,100 ms,500 Mbps,99.95%,1000,15
328,Retrieve intent 43908 information,retrieve intent 43908 information,Intent,GET,DeliveryExpectation,/intent,Created,43908,BroadbandDeployment001,1.4,5,Video streaming,False,DataAnalytics,720p,5 ms,500 Mbps,99.9%,200,5
329,Show intent evaluation report,show intent evaluation report,IntentReport,GET (IntentReport),,/intentreport,Active,89993,CloudServiceService002,2.6,1,Enterprise networks,True,EdgeComputing,1080pHD,12 ms,100 Mbps,99.99%,1000,30
330,Configure a new DataAnalytics intent,configure a new dataanalytics intent,Intent,POST,DeliveryExpectation,/intent,Created,78972,VideoStreamDeploymentB,5.1,3,Edge computing,False,DataAnalytics,Standard,50 ms,1 Gbps,99.99%,100,15
331,Generate monitoring report for enable telehealth services with guaranteed bandwidth,generate monitoring report for enable telehealth services with guaranteed bandwidth,IntentReport,GET (IntentReport),,/intentreport,Created,35018,NetworkSliceDeploymentv1,3.5,2,IoT networks,False,IoTService,480p,100 ms,1 Gbps,99.9%,5000,30
332,Delete intent 34139,delete intent 34139,Intent,DELETE,PropertyExpectation,/intent,Active,34139,AutonomousIntent002,4.1,2,Broadband services,False,EdgeComputing,1080pHD,50 ms,500 Mbps,99.95%,50,30
333,Generate compliance status report,generate compliance status report,Intent,GET (IntentReport),DeliveryExpectation,/intent,Active,99366,TelehealthProvisionv2,4.6,2,Enterprise networks,False,VoiceService,1080pHD,10 ms,100 Mbps,99.95%,500,30
334,Show intent evaluation report,show intent evaluation report,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Created,71170,MissionCriticalIntentv2,3.9,2,Smart city,False,DataAnalytics,4KUHD,12 ms,100 Mbps,99.999%,100,30
335,Get all intents with priority 4,get all intents with priority 4,IntentReport,GET,,/intentreport,Created,51302,BroadbandSetupv1,3.8,4,Broadband services,True,DataAnalytics,Basic,5 ms,500 Mbps,99.9%,100,30
336,What would happen if we deliver IoT connectivity for sensor networks with 10000 devices?,what would happen if we deliver iot connectivity for sensor networks with 10000 devices?,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Created,32062,VideoStreamServiceB,5.3,1,Smart city,False,VoiceService,480p,12 ms,1 Gbps,99.95%,50,30
337,Modify the expression of intent CloudServiceSetupA,modify the expression of intent cloudservicesetupa,IntentSpecification,PATCH,,/intentspecification,Created,89517,CloudServiceSetupA,3.0,4,Broadband services,True,DataAnalytics,Standard,12 ms,1 Gbps,99.9%,200,60
338,What is the status of intent 82866?,what is the status of intent 82866?,IntentSpecification,GET,,/intentspecification,Active,82866,EdgeComputeDeploymentC,3.5,2,Autonomous services,True,DataAnalytics,Basic,50 ms,10 Gbps,99.999%,200,10
339,What is the status of intent 65061?,what is the status of intent 65061?,IntentSpecification,GET,,/intentspecification,Created,65061,GamingService002,2.7,4,Cloud services,True,VideoStreaming,720p,10 ms,100 Mbps,99.99%,100,30
340,Test real-time performance capability,test real-time performance capability,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Created,99376,VideoStreamSetupC,4.1,3,Cloud services,False,StreamingApplication,480p,50 ms,10 Gbps,99.999%,1000,60
341,Search for intent 40601,search for intent 40601,ProbeIntent,GET,PropertyExpectation,/intent,Created,40601,VideoStreamDeployment001,1.7,1,Autonomous services,False,NetworkSlice,Basic,100 ms,100 Mbps,99.99%,100,60
342,Place an intent for deploy connected logistics for supply chain management,place an intent for deploy connected logistics for supply chain management,Intent,POST,DeliveryExpectation,/intent,Created,93579,FactoryAutoDeploymentv1,2.6,4,Cloud services,True,IoTService,4KUHD,100 ms,1 Gbps,99.95%,1000,15
343,Show all active intents,show all active intents,IntentReport,GET,,/intentreport,Active,45519,BroadbandDeployment001,1.8,5,Edge computing,True,IoTService,480p,10 ms,500 Mbps,99.9%,1000,30
344,What intents exist for Autonomous services?,what intents exist for autonomous services?,IntentReport,GET,,/intentreport,Created,45947,SmartCityService002,5.7,3,Autonomous services,True,IoTService,1080pHD,50 ms,1 Gbps,99.9%,50,60
345,View the VideoStreamServiceA intent,view the videostreamservicea intent,IntentReport,GET,,/intentreport,Active,73120,VideoStreamServiceA,4.4,4,Video streaming,False,CloudService,Basic,20 ms,500 Mbps,99.99%,1000,15
346,Terminate intent EventLiveProvisionv2,terminate intent eventliveprovisionv2,Intent,DELETE,ReportingExpectation,/intent,Active,83199,EventLiveProvisionv2,3.6,4,Enterprise networks,True,NetworkSlice,720p,12 ms,500 Mbps,99.99%,100,30
347,What is the current state compliance?,what is the current state compliance?,Intent,GET (IntentReport),PropertyExpectation,/intent,Active,79323,NetworkSliceProvisionA,4.0,3,Cloud services,False,EventWirelessAccess,480p,12 ms,100 Mbps,99.9%,100,30
348,Initiate deploy augmented reality service for retail stores service intent,initiate deploy augmented reality service for retail stores service intent,IntentSpecification,POST,,/intentspecification,Created,43275,EventLiveServicev2,3.8,4,Enterprise networks,False,VoiceService,Premium,5 ms,500 Mbps,99.95%,500,60
349,Verify Smart city readiness,verify smart city readiness,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Active,83048,CloudServiceService001,4.9,3,Smart city,True,IoTService,1080pHD,20 ms,100 Mbps,99.95%,500,60
350,Order a EventWirelessAccess service with 24/7 availability,order a eventwirelessaccess service with 24/7 availability,Intent,POST,PropertyExpectation,/intent,Active,29724,EdgeComputeProvisionB,1.7,3,Autonomous services,True,EventWirelessAccess,720p,12 ms,1 Gbps,99.999%,500,60
351,Show all active intents,show all active intents,Intent,GET,DeliveryExpectation,/intent,Active,85149,SmartGridServiceA,4.8,3,intent-based networks,True,CloudService,4KUHD,100 ms,100 Mbps,99.99%,500,5
352,Check status of NetworkSliceDeployment001,check status of networkslicedeployment001,Intent,GET,ReportingExpectation,/intent,Active,36880,NetworkSliceDeployment001,2.2,5,Edge computing,False,VideoStreaming,1080pHD,100 ms,500 Mbps,99.9%,500,30
353,Change the target of intent 42984,change the target of intent 42984,Intent,PATCH,DeliveryExpectation,/intent,Created,42984,ConnectedCarService002,3.2,5,intent-based networks,False,StreamingApplication,Basic,50 ms,500 Mbps,99.999%,200,30
354,Find intent named SmartCityService002,find intent named smartcityservice002,IntentReport,GET,,/intentreport,Created,78518,SmartCityService002,4.5,5,Smart city,True,StreamingApplication,4KUHD,5 ms,1 Gbps,99.99%,100,15
355,Modify intent 66784 description,modify intent 66784 description,IntentSpecification,PATCH,,/intentspecification,Created,66784,VideoStreamDeploymentA,3.4,1,Broadband services,False,EventWirelessAccess,4KUHD,20 ms,10 Gbps,99.9%,100,10
356,What is the current state compliance?,what is the current state compliance?,Intent,GET (IntentReport),PropertyExpectation,/intent,Active,75878,IoTConnectProvisionB,1.3,1,Cloud services,True,VideoStreaming,Standard,12 ms,100 Mbps,99.95%,50,10
357,Report on intent 63321,report on intent 63321,Intent,GET,PropertyExpectation,/intent,Active,63321,ConnectedCarDeploymentv1,5.4,2,Video streaming,False,VideoStreaming,1080pHD,50 ms,100 Mbps,99.99%,5000,5
358,Purge intent 69976,purge intent 69976,Intent,DELETE,ReportingExpectation,/intent,Active,69976,SmartCityService002,3.5,3,Autonomous services,False,CloudService,480p,5 ms,100 Mbps,99.99%,1000,15
359,Amend intent 43464 parameters,amend intent 43464 parameters,Intent,PATCH,PropertyExpectation,/intent,Active,43464,ConnectedCarProvisionv1,5.4,2,Broadband services,False,CloudService,1080pHD,10 ms,500 Mbps,99.9%,200,5
360,Show me the intent with ID 79566,show me the intent with id 79566,Intent,GET,PropertyExpectation,/intent,Active,79566,VideoStreamSetupv2,3.1,3,Video streaming,True,DataAnalytics,Premium,100 ms,100 Mbps,99.999%,500,60
361,Destroy intent 88043,destroy intent 88043,IntentSpecification,DELETE,,/intentspecification,Active,88043,TelehealthDeploymentv1,4.6,3,Cloud services,False,EventWirelessAccess,4KUHD,50 ms,10 Gbps,99.9%,5000,5
362,What is the current state compliance?,what is the current state compliance?,Intent,GET (IntentReport),DeliveryExpectation,/intent,Created,32744,EventLiveDeployment002,4.3,3,Autonomous services,True,IoTService,4KUHD,100 ms,500 Mbps,99.95%,50,30
363,Delete the intent for provide low latency connectivity for factory automation with 5ms latency,delete the intent for provide low latency connectivity for factory automation with 5ms latency,IntentSpecification,DELETE,,/intentspecification,Active,89716,MissionCriticalSetup002,3.2,3,Cloud services,True,VideoStreaming,Basic,12 ms,100 Mbps,99.9%,50,30
364,Generate compliance status report,generate compliance status report,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Active,52503,SmartCityDeploymentB,5.2,1,Edge computing,True,VoiceService,Premium,50 ms,100 Mbps,99.999%,500,60
365,Add a new intent for enable high bandwidth connectivity for the convention center,add a new intent for enable high bandwidth connectivity for the convention center,IntentSpecification,POST,,/intentspecification,Active,77497,IoTConnectDeploymentv2,2.4,1,5G networks,False,CloudService,480p,100 ms,100 Mbps,99.99%,5000,15
366,Start a new StreamingApplication with real-time performance,start a new streamingapplication with real-time performance,IntentSpecification,POST,,/intentspecification,Created,71827,ConnectedCarSetupA,4.0,2,Edge computing,False,StreamingApplication,Standard,50 ms,1 Gbps,99.9%,50,10
367,Clean up intent VideoStreamSetup001,clean up intent videostreamsetup001,IntentSpecification,DELETE,,/intentspecification,Created,66635,VideoStreamSetup001,1.2,3,Cloud services,False,NetworkSlice,Basic,20 ms,10 Gbps,99.95%,100,15
368,Modify intent 53247 description,modify intent 53247 description,Intent,PATCH,DeliveryExpectation,/intent,Active,53247,FactoryAutoSetupB,3.8,2,Enterprise networks,False,IoTService,Premium,20 ms,500 Mbps,99.999%,50,10
369,Generate intent assessment report,generate intent assessment report,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Active,91891,SmartGridProvisionB,5.8,2,5G networks,False,NetworkSlice,Premium,5 ms,1 Gbps,99.999%,500,5
370,Set up a new intent for deploy augmented reality service for retail stores,set up a new intent for deploy augmented reality service for retail stores,IntentSpecification,POST,,/intentspecification,Created,53289,SmartGridDeploymentA,1.1,3,Enterprise networks,True,DataAnalytics,Standard,50 ms,1 Gbps,99.9%,50,15
371,Unregister intent SmartCityDeployment001,unregister intent smartcitydeployment001,IntentSpecification,DELETE,,/intentspecification,Active,34165,SmartCityDeployment001,5.4,5,IoT networks,True,EventWirelessAccess,4KUHD,5 ms,500 Mbps,99.9%,1000,10
372,Simulate intent for enable remote surgery capabilities with 1ms latency,simulate intent for enable remote surgery capabilities with 1ms latency,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Created,30760,NetworkSliceIntent002,3.5,1,intent-based networks,True,IoTService,Standard,12 ms,100 Mbps,99.99%,100,30
373,Display report for VoiceService,display report for voiceservice,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Created,73935,SmartCityIntentv1,5.4,4,Video streaming,True,VoiceService,Basic,12 ms,10 Gbps,99.999%,1000,30
374,Generate intent assessment report,generate intent assessment report,IntentReport,GET (IntentReport),,/intentreport,Active,39341,IoTConnectDeployment002,4.7,3,Edge computing,True,VoiceService,4KUHD,20 ms,1 Gbps,99.99%,100,5
375,Unregister intent EventLiveDeploymentv1,unregister intent eventlivedeploymentv1,Intent,DELETE,ReportingExpectation,/intent,Active,52415,EventLiveDeploymentv1,5.9,2,IoT networks,True,IoTService,480p,12 ms,10 Gbps,99.9%,100,15
376,Get details of intent 92726,get details of intent 92726,IntentSpecification,GET,,/intentspecification,Active,92726,FactoryAutoIntentB,5.6,3,Autonomous services,False,VideoStreaming,Premium,100 ms,1 Gbps,99.999%,100,30
377,Display report for BroadbandService,display report for broadbandservice,Intent,GET (IntentReport),PropertyExpectation,/intent,Created,79286,EdgeComputeSetupB,2.4,5,intent-based networks,True,BroadbandService,4KUHD,5 ms,1 Gbps,99.9%,200,10
378,Drop intent 46878,drop intent 46878,Intent,DELETE,ReportingExpectation,/intent,Created,46878,FactoryAutoServiceC,1.2,2,IoT networks,True,NetworkSlice,Basic,100 ms,100 Mbps,99.999%,100,10
379,Report on intent 24908,report on intent 24908,IntentSpecification,GET,,/intentspecification,Active,24908,IoTConnectDeployment001,3.8,5,Edge computing,False,CloudService,Standard,12 ms,500 Mbps,99.95%,50,60
380,Fetch the intent 85849,fetch the intent 85849,Intent,GET,PropertyExpectation,/intent,Created,85849,VideoStreamProvisionA,2.4,2,Broadband services,True,EventWirelessAccess,Standard,12 ms,500 Mbps,99.999%,50,5
381,Display intent 54175 details,display intent 54175 details,ProbeIntent,GET,ReportingExpectation,/intent,Active,54175,CloudServiceIntentv2,4.6,3,Enterprise networks,False,StreamingApplication,Premium,50 ms,10 Gbps,99.9%,500,15
382,Get intent report for provide low latency connectivity for factory automation with 5ms latency,get intent report for provide low latency connectivity for factory automation with 5ms latency,Intent,GET (IntentReport),PropertyExpectation,/intent,Active,38711,SmartCitySetupv2,4.3,2,Cloud services,True,VoiceService,Standard,10 ms,500 Mbps,99.99%,50,5
383,Find intent named IoTConnectProvision002,find intent named iotconnectprovision002,IntentSpecification,GET,,/intentspecification,Created,79849,IoTConnectProvision002,5.9,1,Enterprise networks,False,EdgeComputing,Basic,100 ms,500 Mbps,99.95%,5000,10
384,Show information about intent 21827,show information about intent 21827,ProbeIntent,GET,PropertyExpectation,/intent,Active,21827,BroadbandIntent001,5.2,2,Smart city,True,IoTService,4KUHD,12 ms,10 Gbps,99.999%,50,10
385,What is the current state compliance?,what is the current state compliance?,IntentReport,GET (IntentReport),,/intentreport,Active,64443,EventLiveService001,4.3,2,Autonomous services,True,VoiceService,480p,20 ms,100 Mbps,99.999%,1000,60
386,Probe the system for enable remote surgery capabilities with 1ms latency capability,probe the system for enable remote surgery capabilities with 1ms latency capability,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Created,53907,TelehealthSetupC,4.8,1,Edge computing,True,EventWirelessAccess,720p,50 ms,10 Gbps,99.99%,5000,15
387,I need an intent configured for provide low latency connectivity for factory automation with 5ms latency,i need an intent configured for provide low latency connectivity for factory automation with 5ms latency,Intent,POST,ReportingExpectation,/intent,Active,65237,AutonomousServiceA,5.9,3,Video streaming,True,CloudService,480p,100 ms,10 Gbps,99.999%,5000,15
388,Modify the expression of intent SmartGridServiceC,modify the expression of intent smartgridservicec,IntentSpecification,PATCH,,/intentspecification,Created,69398,SmartGridServiceC,3.6,3,Enterprise networks,True,EventWirelessAccess,1080pHD,5 ms,10 Gbps,99.9%,100,30
389,Test intent expression for enable high bandwidth connectivity for the convention center,test intent expression for enable high bandwidth connectivity for the convention center,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Created,26652,FactoryAutoSetupC,4.3,1,Cloud services,True,BroadbandService,4KUHD,5 ms,100 Mbps,99.9%,5000,5
